name,type,start_time,duration,"identifier","num_data_bytes","extended","data","crc","ack"
"CAN","data_field",2023-08-25T05:19:05.250862904+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.250902904+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.250938904+00:00,3.6e-05,,,,0x00,,
"CAN","crc_field",2023-08-25T05:19:05.250978904+00:00,5.6e-05,,,,,0x0000000000001522,
"CAN","ack_field",2023-08-25T05:19:05.251042904+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.256107080+00:00,0.000144,0x000000000CF00400,,true,,,
"CAN","control_field",2023-08-25T05:19:05.256255080+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.256271080+00:00,3.2e-05,,,,0xFE,,
"CAN","data_field",2023-08-25T05:19:05.256307080+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:19:05.256343080+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:19:05.256379080+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.256415080+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.256455080+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.256491080+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.256527080+00:00,3.2e-05,,,,0x7D,,
"CAN","crc_field",2023-08-25T05:19:05.256563080+00:00,6e-05,,,,,0x0000000000006D3F,
"CAN","ack_field",2023-08-25T05:19:05.256631080+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.265922752+00:00,0.000144,0x0000000018FEF000,,true,,,
"CAN","control_field",2023-08-25T05:19:05.266074752+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.266090752+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.266126752+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.266166752+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.266202752+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.266238752+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.266278752+00:00,2.8e-05,,,,0xF0,,
"CAN","data_field",2023-08-25T05:19:05.266310752+00:00,2.8e-05,,,,0xCC,,
"CAN","data_field",2023-08-25T05:19:05.266342752+00:00,3.2e-05,,,,0xFF,,
"CAN","crc_field",2023-08-25T05:19:05.266378752+00:00,6e-05,,,,,0x0000000000006A72,
"CAN","ack_field",2023-08-25T05:19:05.266446752+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.266546952+00:00,0.00014,0x0000000018F0000F,,true,,,
"CAN","control_field",2023-08-25T05:19:05.266690952+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.266706952+00:00,3.2e-05,,,,0xC0,,
"CAN","data_field",2023-08-25T05:19:05.266742952+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:19:05.266778952+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.266814952+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.266854952+00:00,2.8e-05,,,,0x0F,,
"CAN","data_field",2023-08-25T05:19:05.266886952+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.266926952+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.266966952+00:00,3.2e-05,,,,0xFF,,
"CAN","crc_field",2023-08-25T05:19:05.267002952+00:00,5.6e-05,,,,,0x00000000000028A2,
"CAN","ack_field",2023-08-25T05:19:05.267066952+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.270670920+00:00,0.00014,0x0000000008FE6E0B,,true,,,
"CAN","control_field",2023-08-25T05:19:05.270814920+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.270830920+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.270870920+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.270906920+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.270946920+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.270986920+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.271022920+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.271062920+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.271098920+00:00,3.6e-05,,,,0x00,,
"CAN","crc_field",2023-08-25T05:19:05.271138920+00:00,5.6e-05,,,,,0x0000000000001522,
"CAN","ack_field",2023-08-25T05:19:05.271202920+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.275987128+00:00,0.000144,0x000000000CF00400,,true,,,
"CAN","control_field",2023-08-25T05:19:05.276135128+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.276151128+00:00,3.2e-05,,,,0xFE,,
"CAN","data_field",2023-08-25T05:19:05.276187128+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:19:05.276223128+00:00,3.2e-05,,,,0x7D,,
"CAN","data_field",2023-08-25T05:19:05.276259128+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.276295128+00:00,3.6e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.276335128+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.276371128+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.276407128+00:00,3.2e-05,,,,0x7D,,
"CAN","crc_field",2023-08-25T05:19:05.276443128+00:00,6e-05,,,,,0x0000000000006D3F,
"CAN","ack_field",2023-08-25T05:19:05.276511128+00:00,4e-06,,,,,,true
"CAN","identifier_field",2023-08-25T05:19:05.276611328+00:00,0.000144,0x000000000CF00300,,true,,,
"CAN","control_field",2023-08-25T05:19:05.276759328+00:00,1.2e-05,,0x0000000000000008,,,,
"CAN","data_field",2023-08-25T05:19:05.276775328+00:00,3.2e-05,,,,0xF9,,
"CAN","data_field",2023-08-25T05:19:05.276811328+00:00,3.2e-05,,,,0xFE,,
"CAN","data_field",2023-08-25T05:19:05.276847328+00:00,3.2e-05,,,,0x00,,
"CAN","data_field",2023-08-25T05:19:05.276883328+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.276919328+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.276959328+00:00,3.2e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.276995328+00:00,3.6e-05,,,,0xFF,,
"CAN","data_field",2023-08-25T05:19:05.277035328+00:00,3.2e-05,,,,0xFF,,
"CAN","crc_field",2023-08-25T05:19:05.277075328+00:00,5.6e-05,,,,,0x0000000000001B78,
"CAN","ack_field",2023-08-25T05:19:05.277139328+00:00,4e-06,,,,,,true
