name,type,start_time,duration,"identifier","extended","num_data_bytes","data","crc","ack"
"CAN","identifier_field",0.0264558125,0.000144,0x0000000010FDA300,true,,,,
"CAN","control_field",0.0266038125,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0266198125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0266558125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0266958125,2.8e-05,,,,0x11,,
"CAN","data_field",0.0267278125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0267638125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0268038125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0268438125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0268798125,3.6e-05,,,,0xFF,,
"CAN","crc_field",0.0269198125,5.6e-05,,,,,0x00000000000076C5,
"CAN","ack_field",0.0269838125,4e-06,,,,,,true
"CAN","identifier_field",0.027040125,0.00014,0x0000000018F00029,true,,,,
"CAN","control_field",0.027184125,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.027200125,2.8e-05,,,,0xF0,,
"CAN","data_field",0.027232125,3.6e-05,,,,0x7D,,
"CAN","data_field",0.027272125,3.2e-05,,,,0x7D,,
"CAN","data_field",0.027308125,3.2e-05,,,,0xF3,,
"CAN","data_field",0.027344125,2.8e-05,,,,0x29,,
"CAN","data_field",0.027376125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.027412125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.027452125,2.8e-05,,,,0x3C,,
"CAN","crc_field",0.027484125,5.6e-05,,,,,0x000000000000684D,
"CAN","ack_field",0.027548125,4e-06,,,,,,true
"CAN","identifier_field",0.029004375,0.00014,0x000000000CF00203,true,,,,
"CAN","control_field",0.029148375,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.029164375,3.2e-05,,,,0xC0,,
"CAN","data_field",0.029200375,3.2e-05,,,,0x00,,
"CAN","data_field",0.029236375,3.6e-05,,,,0x00,,
"CAN","data_field",0.029276375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.029312375,3.2e-05,,,,0xF7,,
"CAN","data_field",0.029348375,2.8e-05,,,,0x4D,,
"CAN","data_field",0.029380375,2.8e-05,,,,0x18,,
"CAN","data_field",0.029412375,3.2e-05,,,,0x03,,
"CAN","crc_field",0.029448375,5.6e-05,,,,,0x0000000000000CDA,
"CAN","ack_field",0.029512375,4e-06,,,,,,true
"CAN","identifier_field",0.029612625,0.00014,0x000000000CF00C03,true,,,,
"CAN","control_field",0.029756625,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.029772625,2.8e-05,,,,0xF0,,
"CAN","data_field",0.029804625,3.6e-05,,,,0x03,,
"CAN","data_field",0.029844625,3.2e-05,,,,0xF0,,
"CAN","data_field",0.029880625,3.2e-05,,,,0x18,,
"CAN","data_field",0.029916625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.029952625,3.6e-05,,,,0xFF,,
"CAN","data_field",0.029992625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.030028625,3.6e-05,,,,0xFF,,
"CAN","crc_field",0.030068625,6e-05,,,,,0x00000000000074D5,
"CAN","ack_field",0.030136625,4e-06,,,,,,true
"CAN","identifier_field",0.031757125,0.000148,0x0000000018FEDF00,true,,,,
"CAN","control_field",0.031909125,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.031925125,2.8e-05,,,,0x84,,
"CAN","data_field",0.031957125,2.8e-05,,,,0xA0,,
"CAN","data_field",0.031993125,2.8e-05,,,,0x28,,
"CAN","data_field",0.032025125,3.2e-05,,,,0x7D,,
"CAN","data_field",0.032061125,3.2e-05,,,,0x7D,,
"CAN","data_field",0.032097125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.032133125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.032173125,3.2e-05,,,,0xF0,,
"CAN","crc_field",0.032209125,5.6e-05,,,,,0x0000000000004B5B,
"CAN","ack_field",0.032273125,4e-06,,,,,,true
"CAN","identifier_field",0.036326125,0.000144,0x0000000018FCDC00,true,,,,
"CAN","control_field",0.036474125,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.036490125,2.8e-05,,,,0x9F,,
"CAN","data_field",0.036526125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.036562125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.036602125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.036638125,3.2e-05,,,,0xF8,,
"CAN","data_field",0.036674125,3.6e-05,,,,0x3D,,
"CAN","data_field",0.036714125,3.2e-05,,,,0x00,,
"CAN","data_field",0.036750125,3.6e-05,,,,0x00,,
"CAN","crc_field",0.036790125,6e-05,,,,,0x00000000000006E4,
"CAN","ack_field",0.036858125,4e-06,,,,,,true
"CAN","identifier_field",0.0369144375,0.000144,0x000000000CF00300,true,,,,
"CAN","control_field",0.0370624375,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0370784375,2.8e-05,,,,0xD1,,
"CAN","data_field",0.0371104375,3.2e-05,,,,0x00,,
"CAN","data_field",0.0371464375,3.2e-05,,,,0x18,,
"CAN","data_field",0.0371824375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0372184375,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0372584375,2.8e-05,,,,0x0F,,
"CAN","data_field",0.0372904375,3.2e-05,,,,0x8B,,
"CAN","data_field",0.0373264375,3.2e-05,,,,0x7E,,
"CAN","crc_field",0.0373624375,5.6e-05,,,,,0x0000000000000976,
"CAN","ack_field",0.0374264375,4e-06,,,,,,true
"CAN","identifier_field",0.0374828125,0.000144,0x000000001CFE9200,true,,,,
"CAN","control_field",0.0376308125,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0376468125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0376828125,2.8e-05,,,,0x98,,
"CAN","data_field",0.0377148125,2.8e-05,,,,0x92,,
"CAN","data_field",0.0377468125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0377828125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0378228125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0378588125,2.8e-05,,,,0x0A,,
"CAN","data_field",0.0378908125,3.2e-05,,,,0x00,,
"CAN","crc_field",0.0379268125,6e-05,,,,,0x0000000000002CBA,
"CAN","ack_field",0.0379948125,4e-06,,,,,,true
"CAN","identifier_field",0.03900325,0.00014,0x000000000CF00203,true,,,,
"CAN","control_field",0.03914725,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.03916325,3.2e-05,,,,0xC0,,
"CAN","data_field",0.03919925,3.2e-05,,,,0x00,,
"CAN","data_field",0.03923525,3.6e-05,,,,0x00,,
"CAN","data_field",0.03927525,3.2e-05,,,,0xFF,,
"CAN","data_field",0.03931125,3.2e-05,,,,0xF7,,
"CAN","data_field",0.03934725,2.8e-05,,,,0x45,,
"CAN","data_field",0.03937925,2.8e-05,,,,0x18,,
"CAN","data_field",0.03941125,3.2e-05,,,,0x03,,
"CAN","crc_field",0.03944725,6e-05,,,,,0x0000000000005F87,
"CAN","ack_field",0.03951525,4e-06,,,,,,true
"CAN","identifier_field",0.043096,0.000144,0x000000000CF00400,true,,,,
"CAN","control_field",0.043244,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.04326,3.2e-05,,,,0x30,,
"CAN","data_field",0.043296,3.6e-05,,,,0x7D,,
"CAN","data_field",0.043336,2.8e-05,,,,0x8A,,
"CAN","data_field",0.043368,3.2e-05,,,,0x0C,,
"CAN","data_field",0.043404,3.2e-05,,,,0x19,,
"CAN","data_field",0.04344,3.2e-05,,,,0x00,,
"CAN","data_field",0.043476,3.2e-05,,,,0x0F,,
"CAN","data_field",0.043512,3.2e-05,,,,0x8A,,
"CAN","crc_field",0.043548,5.6e-05,,,,,0x000000000000621B,
"CAN","ack_field",0.043612,4e-06,,,,,,true
"CAN","identifier_field",0.04633675,0.000144,0x000000000CF00A00,true,,,,
"CAN","control_field",0.04648475,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.04650075,3.2e-05,,,,0x04,,
"CAN","data_field",0.04653675,3.2e-05,,,,0x05,,
"CAN","data_field",0.04657275,2.8e-05,,,,0x4F,,
"CAN","data_field",0.04660475,3.2e-05,,,,0x05,,
"CAN","data_field",0.04664075,3.2e-05,,,,0xFF,,
"CAN","data_field",0.04667675,3.6e-05,,,,0xFF,,
"CAN","data_field",0.04671675,3.2e-05,,,,0xFF,,
"CAN","data_field",0.04675675,3.2e-05,,,,0xFF,,
"CAN","crc_field",0.04679275,5.6e-05,,,,,0x0000000000002524,
"CAN","ack_field",0.04685675,4e-06,,,,,,true
"CAN","identifier_field",0.0469130625,0.000144,0x0000000018FD9400,true,,,,
"CAN","control_field",0.0470610625,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0470770625,2.8e-05,,,,0x63,,
"CAN","data_field",0.0471090625,2.8e-05,,,,0x17,,
"CAN","data_field",0.0471410625,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0471810625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0472170625,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0472570625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0472970625,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0473330625,3.6e-05,,,,0xFF,,
"CAN","crc_field",0.0473730625,6e-05,,,,,0x0000000000003EE8,
"CAN","ack_field",0.0474410625,4e-06,,,,,,true
"CAN","identifier_field",0.0474974375,0.000144,0x0000000018F00E00,true,,,,
"CAN","control_field",0.0476454375,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0476614375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0476974375,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0477374375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0477734375,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0478134375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0478534375,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0478894375,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0479294375,3.2e-05,,,,0xFF,,
"CAN","crc_field",0.0479654375,6.4e-05,,,,,0x0000000000005A00,
"CAN","ack_field",0.0480374375,4e-06,,,,,,true
"CAN","identifier_field",0.0490138125,0.00014,0x000000000CF00203,true,,,,
"CAN","control_field",0.0491578125,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0491738125,3.2e-05,,,,0xC0,,
"CAN","data_field",0.0492098125,3.2e-05,,,,0x00,,
"CAN","data_field",0.0492458125,3.6e-05,,,,0x00,,
"CAN","data_field",0.0492858125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0493218125,3.2e-05,,,,0xF7,,
"CAN","data_field",0.0493578125,2.8e-05,,,,0x45,,
"CAN","data_field",0.0493898125,2.8e-05,,,,0x18,,
"CAN","data_field",0.0494218125,3.2e-05,,,,0x03,,
"CAN","crc_field",0.0494578125,6e-05,,,,,0x0000000000005F87,
"CAN","ack_field",0.0495258125,4e-06,,,,,,true
"CAN","identifier_field",0.049622125,0.00014,0x000000000CF00C03,true,,,,
"CAN","control_field",0.049766125,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.049782125,2.8e-05,,,,0xF2,,
"CAN","data_field",0.049814125,3.2e-05,,,,0x03,,
"CAN","data_field",0.049850125,2.8e-05,,,,0x48,,
"CAN","data_field",0.049882125,3.2e-05,,,,0x19,,
"CAN","data_field",0.049918125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.049954125,3.6e-05,,,,0xFF,,
"CAN","data_field",0.049994125,3.2e-05,,,,0xFF,,
"CAN","data_field",0.050034125,3.2e-05,,,,0xFF,,
"CAN","crc_field",0.050070125,6e-05,,,,,0x0000000000006A46,
"CAN","ack_field",0.050138125,4e-06,,,,,,true
"CAN","identifier_field",0.050238375,0.00014,0x0000000018F00503,true,,,,
"CAN","control_field",0.050382375,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.050398375,3.2e-05,,,,0x7D,,
"CAN","data_field",0.050434375,3.2e-05,,,,0x00,,
"CAN","data_field",0.050470375,3.6e-05,,,,0x00,,
"CAN","data_field",0.050510375,3.2e-05,,,,0x7D,,
"CAN","data_field",0.050546375,2.8e-05,,,,0x4E,,
"CAN","data_field",0.050578375,2.8e-05,,,,0x20,,
"CAN","data_field",0.050614375,2.8e-05,,,,0x4E,,
"CAN","data_field",0.050646375,2.8e-05,,,,0x43,,
"CAN","crc_field",0.050678375,5.6e-05,,,,,0x0000000000001129,
"CAN","ack_field",0.050742375,4e-06,,,,,,true
"CAN","identifier_field",0.0508426875,0.00014,0x0000000018FE4A03,true,,,,
"CAN","control_field",0.0509866875,1.2e-05,,,0x0000000000000008,,,
"CAN","data_field",0.0510026875,3.2e-05,,,,0x03,,
"CAN","data_field",0.0510386875,2.8e-05,,,,0x1F,,
"CAN","data_field",0.0510746875,2.8e-05,,,,0x4F,,
"CAN","data_field",0.0511066875,3.6e-05,,,,0xFF,,
"CAN","data_field",0.0511466875,3.2e-05,,,,0xFF,,
"CAN","data_field",0.0511866875,2.8e-05,,,,0xF3,,
"CAN","data_field",0.0512186875,3.2e-05,,,,0xFF,,
